Country,Year,Electricity from fossil fuels (TWh),Electricity from renewables (TWh),Toatl Electricity generation (TWh),EC Renewables (TWh),EC Fossil fuels (TWh),Total Energy consumption (TWh)
Slovenia,2000,4.95,3.9,13.61,11.560551,53.556305,78.62627
Slovenia,2001,5.35,3.87,14.48,11.381681,55.99178,82.19341
Slovenia,2002,5.66,3.41,14.6,9.995704,56.296413,81.7755
Slovenia,2003,5.54,3.08,13.83,8.965116,56.75701,80.21293
Slovenia,2004,5.6,4.21,15.27,12.186621,57.898277,85.180244
Slovenia,2005,5.66,3.57,15.11,10.261417,58.757935,85.18694
Slovenia,2006,5.86,3.7,15.11,10.585269,60.220512,85.95426
Slovenia,2007,5.96,3.38,15.04,9.728609,60.285892,85.46716
Slovenia,2008,5.83,4.31,16.41,12.509282,64.21757,93.64212
Slovenia,2009,5.75,4.9,16.39,14.146129,56.981194,86.507126
Slovenia,2010,5.85,4.75,16.26,13.801904,57.791183,86.66013
Slovenia,2011,5.82,3.88,15.92,11.227494,56.455215,84.13502
Slovenia,2012,5.69,4.33,15.55,12.584059,54.62937,81.75843
Slovenia,2013,5.39,5.11,15.8,14.732307,52.289368,80.88277
Slovenia,2014,4.18,6.6,17.15,18.536058,47.87574,82.971504
Slovenia,2015,4.8,4.35,14.8,12.205926,48.026012,74.82731
Slovenia,2016,5.45,5.06,16.23,13.905834,51.391228,79.97818
Slovenia,2017,5.32,4.44,16.05,12.285353,52.50236,80.83881
Slovenia,2018,5.12,5.22,16.12,14.848883,52.96601,82.48029
Slovenia,2019,5.03,5.04,15.89,14.539384,50.827538,80.09161
Slovenia,2020,4.96,5.58,16.89,15.907841,45.46699,77.384926
Slovenia,2021,4.44,5.44,15.59,15.61828,46.725586,76.671234
Slovenia,2022,3.75,3.93,13.27,11.335317,47.544563,72.90372
Spain,1990,70.91,26.03,151.21,76.938225,837.82996,1068.7544
Spain,1991,71.36,27.810001,154.75,82.467804,866.3473,1106.5184
Spain,1992,81.31,19.6,156.69,58.109978,942.7359,1159.128
Spain,1993,74.27,25.13,155.46,74.30044,888.1298,1121.5013
Spain,1994,76.53,29.06,160.9,85.91482,931.8254,1174.6917
Spain,1995,85.76,24.380001,165.6,72.411995,989.64343,1219.4099
Spain,1996,75.79,41.250004,173.37,122.26307,984.46796,1266.5682
Spain,1997,96.869995,36.969997,189.14,109.74089,1069.7953,1336.445
Spain,1998,97.509995,36.89,193.39,109.481895,1124.0068,1400.8822
Spain,1999,119.57,27.210001,205.63,81.27325,1195.437,1443.7039
Spain,2000,124.22,34.49,220.92,107.060326,1244.0662,1527.637
Spain,2001,120.06,49.3,233.07,146.48393,1271.7705,1597.853
Spain,2002,143.72,33.17,239.91,104.112114,1334.4612,1615.075
Spain,2003,139.67,55.75,257.3,166.57173,1368.1029,1706.8695
Spain,2004,159.91,50.13,273.65,149.34743,1444.0978,1769.3298
Spain,2005,184.65,42.27,284.46,123.338394,1500.0077,1781.4471
Spain,2006,182.98,52.15,295.26,151.0986,1491.931,1807.2
Spain,2007,188.13,58.3,301.53,167.41145,1529.8999,1846.8264
Spain,2008,189.55,62.15,310.67,178.65431,1458.1388,1795.815
Spain,2009,164.69,74.08,291.53,210.7994,1312.6128,1664.8059
Spain,2010,138.39,97.77,298.15,286.28223,1259.4968,1709.8822
Spain,2011,146.12,87.53,291.37,259.58688,1265.2173,1677.6294
Spain,2012,145.33,86.97,293.77,265.09323,1241.4958,1668.326
Spain,2013,113.32,111.42,281.47,315.41394,1121.1074,1584.8909
Spain,2014,107.37,110.26,274.94,312.4877,1094.0911,1555.5511
Spain,2015,123.19,97.09,277.48,275.7428,1151.1338,1574.9623
Spain,2016,107.93,104.63,271.19,295.8918,1143.4977,1589.9742
Spain,2017,126.93,87.93,272.9,252.1896,1207.5171,1608.1108
Spain,2018,112.23,103.88,271.88,298.44843,1197.0514,1637.0802
Spain,2019,111.55,100.99,270.89,276.51657,1167.4574,1591.3844
Spain,2020,87.64,113.79,259.73,318.15598,974.3663,1439.4471
Spain,2021,88.5,125.75,270.81,348.69162,1052.2076,1542.9287
Spain,2022,106.14,120.24,284.81,336.2734,1115.8271,1598.6992
Sweden,1990,3.35,74.450005,145.98,220.62854,268.20712,682.3116
Sweden,1991,5.1,65.11,146.97,193.00255,236.27994,647.09296
Sweden,1992,6.0200005,76.37,145.93,226.40155,245.25757,651.9662
Sweden,1993,6.99,76.87,145.26,227.81737,242.93082,644.9574
Sweden,1994,8.14,61.399998,142.7,182.08934,255.36891,645.0395
Sweden,1995,7.7999997,70.549995,148.28,209.18703,244.80795,652.4366
Sweden,1996,12.34,54,140.61,160.1845,263.05484,633.9929
Sweden,1997,7.25,72.02999,149.21,213.65305,244.28334,656.3581
Sweden,1998,7.1099997,78.1,158.79,230.80229,270.73907,710.3342
Sweden,1999,6.8999996,74.75,154.84,221.66046,260.3394,689.6719
Sweden,2000,4.77,83.14,145.23,246.80798,230.02692,639.46985
Sweden,2001,6.17,83.32,161.6,245.74332,236.86372,685.88873
Sweden,2002,7.44,71.15,146.7,208.79597,242.44304,642.0112
Sweden,2003,9.24,58.73,135.39,171.64445,255.92369,615.18054
Sweden,2004,6.02,68.18,151.69,200.03575,247.8287,662.64197
Sweden,2005,4.76,81.23,158.37,235.61263,244.6366,679.98315
Sweden,2006,5.24,71.06,143.28,206.7987,250.07378,639.7497
Sweden,2007,4.42,77.43,148.82,224.72835,243.03745,649.47833
Sweden,2008,4.6,81.41,149.9,236.93732,231.01726,640.23254
Sweden,2009,4.62,79.81,136.6,229.88905,217.04445,586.75024
Sweden,2010,8.53,82.09,148.45,240.5208,229.47697,623.75226
Sweden,2011,5.72,84.09,150.28,245.08615,209.54068,614.7169
Sweden,2012,4.09,98.3,166.43,282.54758,201.40807,652.4464
Sweden,2013,3.88,82.69,153.03,238.12282,199.3496,611.2761
Sweden,2014,2.93,85.74,153.55,247.32956,192.4726,608.4578
Sweden,2015,3.15,102.5,162,293.2613,190.2769,629.1513
Sweden,2016,3.66,89.13,155.89,260.21304,195.60199,617.9133
Sweden,2017,3.47,95.06,164.23,276.59607,193.49849,637.8664
Sweden,2018,3.66,91.15,163.36,263.94153,186.87343,624.84937
Sweden,2019,3.35,98.94,168.42,284.8305,197.68591,649.78973
Sweden,2020,2.44,112.15,163.79,316.05298,175.82962,615.8703
Sweden,2021,3.06,115.74,171.77,328.0238,168.96088,629.9774
Sweden,2022,3.06,117.4,171.68,337.0352,166.20297,632.1888
